store_id,month,year,units_sold,revenue_usd,cost_usd,gross_profit_usd,gross_margin_pct,median_income,population,percent_age_18_34,percent_age_35_64,percent_age_65_plus
S001,1,2024,241,2402.787056841385,1058.1071201186576,1344.6799367227275,55.963341940521104,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,2,2024,186,1968.231388154933,809.8851727394222,1158.3462154155109,58.85213610485971,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,3,2024,197,2307.5150273191275,956.7045544370219,1350.8104728821056,58.53961759250071,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,4,2024,227,2588.832097737306,1051.88259034095,1536.949507396356,59.36845069016575,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,5,2024,237,2555.8362472478743,1218.208994622359,1337.6272526255154,52.336187581104745,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,6,2024,234,2003.1186382613864,1178.5782773062288,824.5403609551577,41.16283205625905,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,7,2024,259,2799.7735110106455,1222.2164163318332,1577.5570946788123,56.345882567813675,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,8,2024,236,2706.516268739618,1375.0495408066545,1331.4667279329637,49.19485403843542,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,9,2024,246,2607.564507885321,1329.3677036107902,1278.1968042745307,49.01879897541331,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,10,2024,218,2071.508334702031,912.9761257706189,1158.532208931412,55.92698757343195,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,11,2024,220,2237.5272785426673,1006.078150936445,1231.4491276062222,55.03616154383969,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S001,12,2024,182,2054.853208160231,859.1093934736997,1195.7438146865316,58.191203631383246,54967.14153011233,21620,0.2834822006297558,0.4682132702100517,0.24830452916019247
S002,1,2024,195,1728.3404014475375,1022.9272855694101,705.4131158781274,40.81447817150618,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,2,2024,173,1758.1195041541937,912.5507459183796,845.5687582358141,48.09506727147113,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,3,2024,218,1980.1657231005288,1063.3915394276573,916.7741836728715,46.297851385761454,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,4,2024,201,2280.1280168918133,1083.7816308496667,1196.3463860421466,52.46838673878329,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,5,2024,164,1476.1593411959745,836.1463460236075,640.012995172367,43.3566334819812,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,6,2024,185,2186.6003076907637,1013.0218591774343,1173.5784485133295,53.67137489122227,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,7,2024,190,1708.2755520208796,895.2696178874795,813.0059341334,47.59220098722475,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,8,2024,173,1415.8338282790528,706.0921656023636,709.7416626766892,50.12888154674061,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,9,2024,208,1745.3980216616333,1036.5122040486021,708.8858176130311,40.61456520605919,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,10,2024,188,1803.675560266825,983.5596368676335,820.1159233991915,45.46914874634485,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,11,2024,190,1995.6535359428194,951.1917782604332,1044.4617576823862,52.33682795490573,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S002,12,2024,182,1507.3740481075129,961.8406172670989,545.533430840414,36.19097937405275,48617.35698828816,18074,0.24442156209414606,0.42269470424811784,0.33288373365773605
S003,1,2024,247,2611.5687598210448,1214.3769279028093,1397.1918319182355,53.500097466856545,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,2,2024,217,2570.3134093991575,1260.9221786089317,1309.3912307902258,50.942862687562766,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,3,2024,176,1420.8281652586911,737.2439221860868,683.5842430726043,48.11167597794232,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,4,2024,217,2469.3517699214867,878.1000201093485,1591.2517498121383,64.44005950042234,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,5,2024,204,2200.537526937147,1072.6086814861926,1127.9288454509544,51.25696933789082,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,6,2024,277,2528.4943064090075,1206.3015072539663,1322.1927991550413,52.29170561324429,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,7,2024,285,2750.384151679026,1352.0503089018864,1398.3338427771398,50.84140126111109,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,8,2024,280,3201.422282064173,1360.23665533001,1841.185626734163,57.511489098121295,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,9,2024,200,2322.0423253436534,1002.1009489791428,1319.9413763645107,56.843984364891554,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,10,2024,281,2685.462686897199,1130.0907601319277,1555.3719267652714,57.91821030894152,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,11,2024,232,2737.657505423147,1369.081716179026,1368.575789244121,49.990759857032835,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S003,12,2024,224,2054.716851441466,1043.2417163257223,1011.4751351157438,49.22698397135126,56476.88538100693,16615,0.22397307346673656,0.5849387236557125,0.1910882028775509
S004,1,2024,301,3358.700243924643,1258.9060740353116,2099.7941698893314,62.51805809963324,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,2,2024,266,2597.788453461273,1536.2586252274155,1061.5298282338576,40.86282802664257,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,3,2024,216,2385.945185803896,1131.070203352625,1254.874982451271,52.59445983577642,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,4,2024,252,2089.3451104151072,1422.2174698823396,667.1276405327676,31.929987880280052,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,5,2024,227,2711.8687372790673,1077.9189412732785,1633.9497960057888,60.2518025133178,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,6,2024,299,3571.2572723321537,1646.5201547848471,1924.7371175473065,53.895224308227654,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,7,2024,282,2885.879993701988,1367.2612132152947,1518.6187804866934,52.62238151970481,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,8,2024,288,2317.0793987720667,1421.9485297886167,895.13086898345,38.631859981053026,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,9,2024,187,1981.6093059828156,1027.0207848452683,954.5885211375473,48.17238787966337,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,10,2024,251,2294.8549346269883,1440.0367623511092,854.8181722758791,37.2493336889211,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,11,2024,269,2714.85328032708,1414.6164673167711,1300.2368130103089,47.89344685520755,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S004,12,2024,285,2946.118315592334,1653.6600659798637,1292.4582496124704,43.86986913499481,65230.29856408025,23058,0.2675230342807256,0.5754678706761962,0.15700909504307825
S005,1,2024,186,2150.3562552148414,913.5043120362853,1236.8519431785562,57.51846654148862,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,2,2024,171,1685.1697089789477,804.8464619849101,880.3232469940376,52.23944165999932,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,3,2024,230,2747.313884921235,1241.154388449083,1506.1594964721521,54.8229856347606,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,4,2024,215,2308.868808396336,929.9252839183033,1378.943524478033,59.72377120187272,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,5,2024,250,2725.7195083883603,1306.707597967895,1419.0119104204653,52.06008564173524,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,6,2024,215,1758.888056291323,871.3377990338184,887.5502572575045,50.46087237234047,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,7,2024,222,1909.570199299933,1151.794037616348,757.7761616835849,39.68307433585804,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,8,2024,211,2395.5494267762006,1041.7885134334774,1353.7609133427231,56.51149995951202,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,9,2024,153,1753.2100942680927,860.7477087938038,892.4623854742889,50.90447450605527,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,10,2024,226,2576.08124117238,1015.8013419879253,1560.2798991844547,60.567961687200835,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,11,2024,223,2324.707773930185,993.9746912545444,1330.7330826756406,57.24302631060952,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S005,12,2024,186,1572.486848596524,993.8252287605214,578.6616198360025,36.79913891505481,47658.46625276664,25154,0.38858194078250385,0.45158832554303113,0.159829733674465
S006,1,2024,193,2201.884118245913,985.0360397669515,1216.8480784789617,55.263947289303275,47658.630430508194,24656,0.26464058640415106,0.5319968092068358,0.2033626043890132
